Date,open,high,low,close,volume,spread,real_volume
2024-12-13 17:00:00,101079.93,101421.91,99694.66,99894.94,5438,2801,0
2024-12-13 18:00:00,99878.17,101274.46,99788.42,100968.14,6497,2801,0
2024-12-13 19:00:00,100971.13,101800.85,100773.69,101777.72,5159,2801,0
2024-12-13 20:00:00,101768.07,101964.68,101295.61,101501.75,2670,2801,0
2024-12-13 21:00:00,101501.75,101634.15,101198.28,101462.3,4768,2801,0
2024-12-13 22:00:00,101479.07,101899.96,101234.02,101672.89,3345,2801,0
2024-12-13 23:00:00,101672.97,101695.33,101250.92,101400.08,3385,2514,0
2024-12-14 00:00:00,101305.52,101405.94,101063.68,101231.49,2896,2526,0
2024-12-14 01:00:00,101231.5,101516.28,101124.65,101429.09,2581,2801,0
2024-12-14 02:00:00,101428.0,101538.65,101167.86,101312.19,1244,2540,0
2024-12-14 03:00:00,101310.2,102712.81,101310.2,102177.58,5227,2801,0
2024-12-14 04:00:00,102159.42,102323.32,101668.85,102085.76,5018,2801,0
2024-12-14 05:00:00,102111.49,102416.68,102075.64,102120.51,6085,2801,0
2024-12-14 06:00:00,102112.51,102194.69,101574.15,101721.2,4412,2540,0
2024-12-14 07:00:00,101707.55,101860.48,101650.95,101742.05,5015,2801,0
2024-12-14 08:00:00,101737.67,102096.33,101706.57,101896.1,5743,2801,0
2024-12-14 09:00:00,101896.1,101924.7,101604.97,101803.67,4457,2801,0
2024-12-14 10:00:00,101803.55,101875.19,101543.39,101779.47,2720,2801,0
2024-12-14 11:00:00,101780.12,101780.58,101455.04,101542.12,3112,2801,0
2024-12-14 12:00:00,101541.92,101603.31,101304.19,101558.14,4985,2801,0
2024-12-14 13:00:00,101558.06,101708.55,101456.88,101581.07,1577,2801,0
2024-12-14 14:00:00,101571.07,101656.8,101241.25,101297.33,4584,2801,0
2024-12-14 15:00:00,101294.06,101432.34,100835.53,101186.99,5739,2801,0
2024-12-14 16:00:00,101189.1,101536.26,101154.68,101430.71,3989,2801,0
2024-12-14 17:00:00,101427.67,101739.84,101341.08,101610.16,5004,2801,0
2024-12-14 18:00:00,101610.07,101645.62,101398.37,101630.65,4823,2801,0
2024-12-14 19:00:00,101615.67,101722.1,100847.3,100961.36,4331,2801,0
2024-12-14 20:00:00,100941.04,101162.09,100809.42,100878.71,4907,2801,0
2024-12-14 21:00:00,100873.29,101351.13,100839.9,101291.22,3412,2801,0
2024-12-14 22:00:00,101291.22,101403.01,100571.05,100755.16,4076,2801,0
2024-12-14 23:00:00,100770.74,101171.95,100739.68,101067.95,3609,2801,0
2024-12-15 00:00:00,101056.91,101243.94,100853.73,101090.71,3642,2801,0
2024-12-15 01:00:00,101107.12,101470.85,101016.35,101409.51,7646,2801,0
2024-12-15 02:00:00,101409.51,101579.05,101219.22,101443.82,4025,2801,0
2024-12-15 03:00:00,101449.57,102162.77,101408.09,102078.72,4226,2801,0
2024-12-15 04:00:00,102077.47,102114.09,101706.21,101792.31,3184,2801,0
2024-12-15 05:00:00,101805.17,101932.48,101679.44,101713.33,2871,2801,0
2024-12-15 06:00:00,101710.79,102829.76,101708.76,102342.94,5560,2801,0
2024-12-15 07:00:00,102344.6,102490.78,102053.92,102125.4,2891,2801,0
2024-12-15 08:00:00,102133.06,102143.8,101744.89,101746.39,2840,2801,0
2024-12-15 09:00:00,101749.02,101941.87,101539.63,101729.89,4586,2801,0
2024-12-15 10:00:00,101730.39,102047.97,101586.1,102035.77,4510,2801,0
2024-12-15 11:00:00,102035.77,102272.0,101921.86,102260.33,4491,2801,0
2024-12-15 12:00:00,102260.4,102453.13,102131.52,102312.95,3056,2801,0
2024-12-15 13:00:00,102312.95,102711.18,102219.79,102674.27,3575,2801,0
2024-12-15 14:00:00,102682.32,103364.22,102523.44,102948.7,5435,2801,0
2024-12-15 15:00:00,102937.7,102991.61,102426.95,102762.76,4988,2801,0
2024-12-15 16:00:00,102763.26,103068.59,102618.81,102977.62,5010,2801,0
2024-12-15 17:00:00,102976.62,103037.75,102682.25,102698.85,3327,2801,0
2024-12-15 18:00:00,102698.86,103468.33,102566.19,103114.94,5443,2570,0
2024-12-15 19:00:00,103118.12,103350.88,102959.33,103153.42,4153,2801,0
2024-12-15 20:00:00,103177.88,103343.34,102988.26,103188.43,4896,2801,0
2024-12-15 21:00:00,103194.24,103429.8,103154.66,103237.14,4320,2801,0
2024-12-15 22:00:00,103248.58,103394.53,103002.3,103107.39,2685,2801,0
2024-12-15 23:00:00,103106.89,103176.29,102647.08,102844.11,5234,2801,0
2024-12-16 00:00:00,102849.31,103365.76,102598.42,103244.48,5890,2801,0
